Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28039 Cervera de Buitrago	De 85 a 89 años  	1 de enero de 2022	9
Total	28 Madrid	28039 Cervera de Buitrago	De 90 a 94 años  	1 de enero de 2022	0
Total	28 Madrid	28039 Cervera de Buitrago	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28039 Cervera de Buitrago	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28051 Chapinería	De 65 a 69 años	1 de enero de 2022	102
Total	28 Madrid	28051 Chapinería	De 70 a 74 años  	1 de enero de 2022	81
Total	28 Madrid	28051 Chapinería	De 75 a 79 años  	1 de enero de 2022	60
Total	28 Madrid	28051 Chapinería	De 80 a 84 años  	1 de enero de 2022	61
Total	28 Madrid	28051 Chapinería	De 85 a 89 años  	1 de enero de 2022	54
Total	28 Madrid	28051 Chapinería	De 90 a 94 años  	1 de enero de 2022	26
Total	28 Madrid	28051 Chapinería	De 95 a 99 años  	1 de enero de 2022	9
Total	28 Madrid	28051 Chapinería	100 y más años	1 de enero de 2022	4
Total	28 Madrid	28052 Chinchón	De 65 a 69 años	1 de enero de 2022	308
Total	28 Madrid	28052 Chinchón	De 70 a 74 años  	1 de enero de 2022	268
Total	28 Madrid	28052 Chinchón	De 75 a 79 años  	1 de enero de 2022	188
Total	28 Madrid	28052 Chinchón	De 80 a 84 años  	1 de enero de 2022	150
Total	28 Madrid	28052 Chinchón	De 85 a 89 años  	1 de enero de 2022	114
Total	28 Madrid	28052 Chinchón	De 90 a 94 años  	1 de enero de 2022	73
Total	28 Madrid	28052 Chinchón	De 95 a 99 años  	1 de enero de 2022	18
Total	28 Madrid	28052 Chinchón	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28040 Ciempozuelos	De 65 a 69 años	1 de enero de 2022	1.093
Total	28 Madrid	28040 Ciempozuelos	De 70 a 74 años  	1 de enero de 2022	851
Total	28 Madrid	28040 Ciempozuelos	De 75 a 79 años  	1 de enero de 2022	669
Total	28 Madrid	28040 Ciempozuelos	De 80 a 84 años  	1 de enero de 2022	462
Total	28 Madrid	28040 Ciempozuelos	De 85 a 89 años  	1 de enero de 2022	428
Total	28 Madrid	28040 Ciempozuelos	De 90 a 94 años  	1 de enero de 2022	190
Total	28 Madrid	28040 Ciempozuelos	De 95 a 99 años  	1 de enero de 2022	63
Total	28 Madrid	28040 Ciempozuelos	100 y más años	1 de enero de 2022	8
Total	28 Madrid	28041 Cobeña	De 65 a 69 años	1 de enero de 2022	251
Total	28 Madrid	28041 Cobeña	De 70 a 74 años  	1 de enero de 2022	143
Total	28 Madrid	28041 Cobeña	De 75 a 79 años  	1 de enero de 2022	126
Total	28 Madrid	28041 Cobeña	De 80 a 84 años  	1 de enero de 2022	78
Total	28 Madrid	28041 Cobeña	De 85 a 89 años  	1 de enero de 2022	58
Total	28 Madrid	28041 Cobeña	De 90 a 94 años  	1 de enero de 2022	36
Total	28 Madrid	28041 Cobeña	De 95 a 99 años  	1 de enero de 2022	11
Total	28 Madrid	28041 Cobeña	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28046 Collado Mediano	De 65 a 69 años	1 de enero de 2022	364
Total	28 Madrid	28046 Collado Mediano	De 70 a 74 años  	1 de enero de 2022	269
Total	28 Madrid	28046 Collado Mediano	De 75 a 79 años  	1 de enero de 2022	220
Total	28 Madrid	28046 Collado Mediano	De 80 a 84 años  	1 de enero de 2022	129
Total	28 Madrid	28046 Collado Mediano	De 85 a 89 años  	1 de enero de 2022	102
Total	28 Madrid	28046 Collado Mediano	De 90 a 94 años  	1 de enero de 2022	49
Total	28 Madrid	28046 Collado Mediano	De 95 a 99 años  	1 de enero de 2022	8
Total	28 Madrid	28046 Collado Mediano	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28047 Collado Villalba	De 65 a 69 años	1 de enero de 2022	2.966
Total	28 Madrid	28047 Collado Villalba	De 70 a 74 años  	1 de enero de 2022	2.349
Total	28 Madrid	28047 Collado Villalba	De 75 a 79 años  	1 de enero de 2022	1.787
Total	28 Madrid	28047 Collado Villalba	De 80 a 84 años  	1 de enero de 2022	1.139
Total	28 Madrid	28047 Collado Villalba	De 85 a 89 años  	1 de enero de 2022	910
Total	28 Madrid	28047 Collado Villalba	De 90 a 94 años  	1 de enero de 2022	411
Total	28 Madrid	28047 Collado Villalba	De 95 a 99 años  	1 de enero de 2022	118
Total	28 Madrid	28047 Collado Villalba	100 y más años	1 de enero de 2022	27
Total	28 Madrid	28043 Colmenar de Oreja	De 65 a 69 años	1 de enero de 2022	435
Total	28 Madrid	28043 Colmenar de Oreja	De 70 a 74 años  	1 de enero de 2022	366
Total	28 Madrid	28043 Colmenar de Oreja	De 75 a 79 años  	1 de enero de 2022	269
Total	28 Madrid	28043 Colmenar de Oreja	De 80 a 84 años  	1 de enero de 2022	231
Total	28 Madrid	28043 Colmenar de Oreja	De 85 a 89 años  	1 de enero de 2022	173
Total	28 Madrid	28043 Colmenar de Oreja	De 90 a 94 años  	1 de enero de 2022	77
Total	28 Madrid	28043 Colmenar de Oreja	De 95 a 99 años  	1 de enero de 2022	24
Total	28 Madrid	28043 Colmenar de Oreja	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28042 Colmenar del Arroyo	De 65 a 69 años	1 de enero de 2022	102
Total	28 Madrid	28042 Colmenar del Arroyo	De 70 a 74 años  	1 de enero de 2022	73
Total	28 Madrid	28042 Colmenar del Arroyo	De 75 a 79 años  	1 de enero de 2022	73
Total	28 Madrid	28042 Colmenar del Arroyo	De 80 a 84 años  	1 de enero de 2022	45
Total	28 Madrid	28042 Colmenar del Arroyo	De 85 a 89 años  	1 de enero de 2022	42
Total	28 Madrid	28042 Colmenar del Arroyo	De 90 a 94 años  	1 de enero de 2022	29
Total	28 Madrid	28042 Colmenar del Arroyo	De 95 a 99 años  	1 de enero de 2022	4
Total	28 Madrid	28042 Colmenar del Arroyo	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28045 Colmenar Viejo	De 65 a 69 años	1 de enero de 2022	2.246
Total	28 Madrid	28045 Colmenar Viejo	De 70 a 74 años  	1 de enero de 2022	1.708
Total	28 Madrid	28045 Colmenar Viejo	De 75 a 79 años  	1 de enero de 2022	1.272
Total	28 Madrid	28045 Colmenar Viejo	De 80 a 84 años  	1 de enero de 2022	868
Total	28 Madrid	28045 Colmenar Viejo	De 85 a 89 años  	1 de enero de 2022	713
Total	28 Madrid	28045 Colmenar Viejo	De 90 a 94 años  	1 de enero de 2022	388
Total	28 Madrid	28045 Colmenar Viejo	De 95 a 99 años  	1 de enero de 2022	139
Total	28 Madrid	28045 Colmenar Viejo	100 y más años	1 de enero de 2022	16
Total	28 Madrid	28044 Colmenarejo	De 65 a 69 años	1 de enero de 2022	368
Total	28 Madrid	28044 Colmenarejo	De 70 a 74 años  	1 de enero de 2022	315
Total	28 Madrid	28044 Colmenarejo	De 75 a 79 años  	1 de enero de 2022	230
Total	28 Madrid	28044 Colmenarejo	De 80 a 84 años  	1 de enero de 2022	137
Total	28 Madrid	28044 Colmenarejo	De 85 a 89 años  	1 de enero de 2022	97
Total	28 Madrid	28044 Colmenarejo	De 90 a 94 años  	1 de enero de 2022	45
Total	28 Madrid	28044 Colmenarejo	De 95 a 99 años  	1 de enero de 2022	14
Total	28 Madrid	28044 Colmenarejo	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28048 Corpa	De 65 a 69 años	1 de enero de 2022	40
Total	28 Madrid	28048 Corpa	De 70 a 74 años  	1 de enero de 2022	30
Total	28 Madrid	28048 Corpa	De 75 a 79 años  	1 de enero de 2022	19
Total	28 Madrid	28048 Corpa	De 80 a 84 años  	1 de enero de 2022	15
Total	28 Madrid	28048 Corpa	De 85 a 89 años  	1 de enero de 2022	14
Total	28 Madrid	28048 Corpa	De 90 a 94 años  	1 de enero de 2022	7
Total	28 Madrid	28048 Corpa	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28048 Corpa	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28049 Coslada	De 65 a 69 años	1 de enero de 2022	5.994
Total	28 Madrid	28049 Coslada	De 70 a 74 años  	1 de enero de 2022	5.236
Total	28 Madrid	28049 Coslada	De 75 a 79 años  	1 de enero de 2022	3.229
Total	28 Madrid	28049 Coslada	De 80 a 84 años  	1 de enero de 2022	1.523
Total	28 Madrid	28049 Coslada	De 85 a 89 años  	1 de enero de 2022	928
Total	28 Madrid	28049 Coslada	De 90 a 94 años  	1 de enero de 2022	440
Total	28 Madrid	28049 Coslada	De 95 a 99 años  	1 de enero de 2022	103
Total	28 Madrid	28049 Coslada	100 y más años	1 de enero de 2022	21
Total	28 Madrid	28050 Cubas de la Sagra	De 65 a 69 años	1 de enero de 2022	192
Total	28 Madrid	28050 Cubas de la Sagra	De 70 a 74 años  	1 de enero de 2022	155
Total	28 Madrid	28050 Cubas de la Sagra	De 75 a 79 años  	1 de enero de 2022	122
Total	28 Madrid	28050 Cubas de la Sagra	De 80 a 84 años  	1 de enero de 2022	73
Total	28 Madrid	28050 Cubas de la Sagra	De 85 a 89 años  	1 de enero de 2022	83
Total	28 Madrid	28050 Cubas de la Sagra	De 90 a 94 años  	1 de enero de 2022	59
Total	28 Madrid	28050 Cubas de la Sagra	De 95 a 99 años  	1 de enero de 2022	17
Total	28 Madrid	28050 Cubas de la Sagra	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28053 Daganzo de Arriba	De 65 a 69 años	1 de enero de 2022	320
Total	28 Madrid	28053 Daganzo de Arriba	De 70 a 74 años  	1 de enero de 2022	197
Total	28 Madrid	28053 Daganzo de Arriba	De 75 a 79 años  	1 de enero de 2022	153
Total	28 Madrid	28053 Daganzo de Arriba	De 80 a 84 años  	1 de enero de 2022	89
Total	28 Madrid	28053 Daganzo de Arriba	De 85 a 89 años  	1 de enero de 2022	91
Total	28 Madrid	28053 Daganzo de Arriba	De 90 a 94 años  	1 de enero de 2022	31
Total	28 Madrid	28053 Daganzo de Arriba	De 95 a 99 años  	1 de enero de 2022	8
Total	28 Madrid	28053 Daganzo de Arriba	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28054 Escorial, El	De 65 a 69 años	1 de enero de 2022	901
Total	28 Madrid	28054 Escorial, El	De 70 a 74 años  	1 de enero de 2022	794
Total	28 Madrid	28054 Escorial, El	De 75 a 79 años  	1 de enero de 2022	575
Total	28 Madrid	28054 Escorial, El	De 80 a 84 años  	1 de enero de 2022	372
Total	28 Madrid	28054 Escorial, El	De 85 a 89 años  	1 de enero de 2022	291
Total	28 Madrid	28054 Escorial, El	De 90 a 94 años  	1 de enero de 2022	151
Total	28 Madrid	28054 Escorial, El	De 95 a 99 años  	1 de enero de 2022	39
Total	28 Madrid	28054 Escorial, El	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28055 Estremera	De 65 a 69 años	1 de enero de 2022	77
Total	28 Madrid	28055 Estremera	De 70 a 74 años  	1 de enero de 2022	64
Total	28 Madrid	28055 Estremera	De 75 a 79 años  	1 de enero de 2022	46
Total	28 Madrid	28055 Estremera	De 80 a 84 años  	1 de enero de 2022	47
Total	28 Madrid	28055 Estremera	De 85 a 89 años  	1 de enero de 2022	52
Total	28 Madrid	28055 Estremera	De 90 a 94 años  	1 de enero de 2022	33
Total	28 Madrid	28055 Estremera	De 95 a 99 años  	1 de enero de 2022	8
Total	28 Madrid	28055 Estremera	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 65 a 69 años	1 de enero de 2022	70
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 70 a 74 años  	1 de enero de 2022	57
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 75 a 79 años  	1 de enero de 2022	47
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 80 a 84 años  	1 de enero de 2022	25
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 85 a 89 años  	1 de enero de 2022	17
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 90 a 94 años  	1 de enero de 2022	15
Total	28 Madrid	28056 Fresnedillas de la Oliva	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28056 Fresnedillas de la Oliva	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28057 Fresno de Torote	De 65 a 69 años	1 de enero de 2022	89
Total	28 Madrid	28057 Fresno de Torote	De 70 a 74 años  	1 de enero de 2022	97
Total	28 Madrid	28057 Fresno de Torote	De 75 a 79 años  	1 de enero de 2022	89
Total	28 Madrid	28057 Fresno de Torote	De 80 a 84 años  	1 de enero de 2022	36
Total	28 Madrid	28057 Fresno de Torote	De 85 a 89 años  	1 de enero de 2022	28
Total	28 Madrid	28057 Fresno de Torote	De 90 a 94 años  	1 de enero de 2022	12
Total	28 Madrid	28057 Fresno de Torote	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28057 Fresno de Torote	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28058 Fuenlabrada	De 65 a 69 años	1 de enero de 2022	13.643
Total	28 Madrid	28058 Fuenlabrada	De 70 a 74 años  	1 de enero de 2022	7.704
Total	28 Madrid	28058 Fuenlabrada	De 75 a 79 años  	1 de enero de 2022	4.227
Total	28 Madrid	28058 Fuenlabrada	De 80 a 84 años  	1 de enero de 2022	2.246
Total	28 Madrid	28058 Fuenlabrada	De 85 a 89 años  	1 de enero de 2022	1.649
Total	28 Madrid	28058 Fuenlabrada	De 90 a 94 años  	1 de enero de 2022	774
Total	28 Madrid	28058 Fuenlabrada	De 95 a 99 años  	1 de enero de 2022	209
Total	28 Madrid	28058 Fuenlabrada	100 y más años	1 de enero de 2022	31
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 65 a 69 años	1 de enero de 2022	318
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 70 a 74 años  	1 de enero de 2022	249
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 75 a 79 años  	1 de enero de 2022	170
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 80 a 84 años  	1 de enero de 2022	119
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 85 a 89 años  	1 de enero de 2022	92
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 90 a 94 años  	1 de enero de 2022	54
Total	28 Madrid	28059 Fuente el Saz de Jarama	De 95 a 99 años  	1 de enero de 2022	15
Total	28 Madrid	28059 Fuente el Saz de Jarama	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28060 Fuentidueña de Tajo	De 65 a 69 años	1 de enero de 2022	131
Total	28 Madrid	28060 Fuentidueña de Tajo	De 70 a 74 años  	1 de enero de 2022	111
Total	28 Madrid	28060 Fuentidueña de Tajo	De 75 a 79 años  	1 de enero de 2022	65
Total	28 Madrid	28060 Fuentidueña de Tajo	De 80 a 84 años  	1 de enero de 2022	50
Total	28 Madrid	28060 Fuentidueña de Tajo	De 85 a 89 años  	1 de enero de 2022	40
Total	28 Madrid	28060 Fuentidueña de Tajo	De 90 a 94 años  	1 de enero de 2022	28
Total	28 Madrid	28060 Fuentidueña de Tajo	De 95 a 99 años  	1 de enero de 2022	4
Total	28 Madrid	28060 Fuentidueña de Tajo	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28061 Galapagar	De 65 a 69 años	1 de enero de 2022	1.554
Total	28 Madrid	28061 Galapagar	De 70 a 74 años  	1 de enero de 2022	1.211
Total	28 Madrid	28061 Galapagar	De 75 a 79 años  	1 de enero de 2022	917
Total	28 Madrid	28061 Galapagar	De 80 a 84 años  	1 de enero de 2022	575
Total	28 Madrid	28061 Galapagar	De 85 a 89 años  	1 de enero de 2022	411
Total	28 Madrid	28061 Galapagar	De 90 a 94 años  	1 de enero de 2022	225
Total	28 Madrid	28061 Galapagar	De 95 a 99 años  	1 de enero de 2022	59
Total	28 Madrid	28061 Galapagar	100 y más años	1 de enero de 2022	8
Total	28 Madrid	28062 Garganta de los Montes	De 65 a 69 años	1 de enero de 2022	37
Total	28 Madrid	28062 Garganta de los Montes	De 70 a 74 años  	1 de enero de 2022	12
Total	28 Madrid	28062 Garganta de los Montes	De 75 a 79 años  	1 de enero de 2022	15
Total	28 Madrid	28062 Garganta de los Montes	De 80 a 84 años  	1 de enero de 2022	14
Total	28 Madrid	28062 Garganta de los Montes	De 85 a 89 años  	1 de enero de 2022	4
Total	28 Madrid	28062 Garganta de los Montes	De 90 a 94 años  	1 de enero de 2022	4
Total	28 Madrid	28062 Garganta de los Montes	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28062 Garganta de los Montes	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 65 a 69 años	1 de enero de 2022	25
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 70 a 74 años  	1 de enero de 2022	21
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 75 a 79 años  	1 de enero de 2022	10
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 80 a 84 años  	1 de enero de 2022	11
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 85 a 89 años  	1 de enero de 2022	7
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 90 a 94 años  	1 de enero de 2022	4
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28063 Gargantilla del Lozoya y Pinilla de Buitrago	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28064 Gascones	De 65 a 69 años	1 de enero de 2022	15
Total	28 Madrid	28064 Gascones	De 70 a 74 años  	1 de enero de 2022	7
Total	28 Madrid	28064 Gascones	De 75 a 79 años  	1 de enero de 2022	11
Total	28 Madrid	28064 Gascones	De 80 a 84 años  	1 de enero de 2022	1
Total	28 Madrid	28064 Gascones	De 85 a 89 años  	1 de enero de 2022	1
Total	28 Madrid	28064 Gascones	De 90 a 94 años  	1 de enero de 2022	2
Total	28 Madrid	28064 Gascones	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28064 Gascones	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28065 Getafe	De 65 a 69 años	1 de enero de 2022	8.230
Total	28 Madrid	28065 Getafe	De 70 a 74 años  	1 de enero de 2022	9.831
Total	28 Madrid	28065 Getafe	De 75 a 79 años  	1 de enero de 2022	9.033
Total	28 Madrid	28065 Getafe	De 80 a 84 años  	1 de enero de 2022	4.669
Total	28 Madrid	28065 Getafe	De 85 a 89 años  	1 de enero de 2022	2.755
Total	28 Madrid	28065 Getafe	De 90 a 94 años  	1 de enero de 2022	1.085
Total	28 Madrid	28065 Getafe	De 95 a 99 años  	1 de enero de 2022	268
Total	28 Madrid	28065 Getafe	100 y más años	1 de enero de 2022	51
Total	28 Madrid	28066 Griñón	De 65 a 69 años	1 de enero de 2022	572
Total	28 Madrid	28066 Griñón	De 70 a 74 años  	1 de enero de 2022	375
Total	28 Madrid	28066 Griñón	De 75 a 79 años  	1 de enero de 2022	243
Total	28 Madrid	28066 Griñón	De 80 a 84 años  	1 de enero de 2022	155
Total	28 Madrid	28066 Griñón	De 85 a 89 años  	1 de enero de 2022	166
Total	28 Madrid	28066 Griñón	De 90 a 94 años  	1 de enero de 2022	103
Total	28 Madrid	28066 Griñón	De 95 a 99 años  	1 de enero de 2022	32
Total	28 Madrid	28066 Griñón	100 y más años	1 de enero de 2022	4
Total	28 Madrid	28067 Guadalix de la Sierra	De 65 a 69 años	1 de enero de 2022	289
Total	28 Madrid	28067 Guadalix de la Sierra	De 70 a 74 años  	1 de enero de 2022	220
Total	28 Madrid	28067 Guadalix de la Sierra	De 75 a 79 años  	1 de enero de 2022	184
Total	28 Madrid	28067 Guadalix de la Sierra	De 80 a 84 años  	1 de enero de 2022	124
Total	28 Madrid	28067 Guadalix de la Sierra	De 85 a 89 años  	1 de enero de 2022	103
Total	28 Madrid	28067 Guadalix de la Sierra	De 90 a 94 años  	1 de enero de 2022	44
Total	28 Madrid	28067 Guadalix de la Sierra	De 95 a 99 años  	1 de enero de 2022	10
Total	28 Madrid	28067 Guadalix de la Sierra	100 y más años	1 de enero de 2022	4
Total	28 Madrid	28068 Guadarrama	De 65 a 69 años	1 de enero de 2022	786
Total	28 Madrid	28068 Guadarrama	De 70 a 74 años  	1 de enero de 2022	693
Total	28 Madrid	28068 Guadarrama	De 75 a 79 años  	1 de enero de 2022	547
Total	28 Madrid	28068 Guadarrama	De 80 a 84 años  	1 de enero de 2022	381
Total	28 Madrid	28068 Guadarrama	De 85 a 89 años  	1 de enero de 2022	295
Total	28 Madrid	28068 Guadarrama	De 90 a 94 años  	1 de enero de 2022	171
Total	28 Madrid	28068 Guadarrama	De 95 a 99 años  	1 de enero de 2022	49
Total	28 Madrid	28068 Guadarrama	100 y más años	1 de enero de 2022	11
Total	28 Madrid	28069 Hiruela, La	De 65 a 69 años	1 de enero de 2022	5
Total	28 Madrid	28069 Hiruela, La	De 70 a 74 años  	1 de enero de 2022	7
Total	28 Madrid	28069 Hiruela, La	De 75 a 79 años  	1 de enero de 2022	4
Total	28 Madrid	28069 Hiruela, La	De 80 a 84 años  	1 de enero de 2022	2
Total	28 Madrid	28069 Hiruela, La	De 85 a 89 años  	1 de enero de 2022	1
Total	28 Madrid	28069 Hiruela, La	De 90 a 94 años  	1 de enero de 2022	1
Total	28 Madrid	28069 Hiruela, La	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28069 Hiruela, La	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 65 a 69 años	1 de enero de 2022	15
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 70 a 74 años  	1 de enero de 2022	16
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 75 a 79 años  	1 de enero de 2022	6
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 80 a 84 años  	1 de enero de 2022	4
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 85 a 89 años  	1 de enero de 2022	1
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 90 a 94 años  	1 de enero de 2022	1
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28070 Horcajo de la Sierra-Aoslos	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 65 a 69 años	1 de enero de 2022	6
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 70 a 74 años  	1 de enero de 2022	6
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 75 a 79 años  	1 de enero de 2022	9
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 80 a 84 años  	1 de enero de 2022	3
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 85 a 89 años  	1 de enero de 2022	2
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 90 a 94 años  	1 de enero de 2022	1
Total	28 Madrid	28071 Horcajuelo de la Sierra	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28071 Horcajuelo de la Sierra	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28072 Hoyo de Manzanares	De 65 a 69 años	1 de enero de 2022	404
Total	28 Madrid	28072 Hoyo de Manzanares	De 70 a 74 años  	1 de enero de 2022	305
Total	28 Madrid	28072 Hoyo de Manzanares	De 75 a 79 años  	1 de enero de 2022	244
Total	28 Madrid	28072 Hoyo de Manzanares	De 80 a 84 años  	1 de enero de 2022	149
Total	28 Madrid	28072 Hoyo de Manzanares	De 85 a 89 años  	1 de enero de 2022	112
Total	28 Madrid	28072 Hoyo de Manzanares	De 90 a 94 años  	1 de enero de 2022	70
Total	28 Madrid	28072 Hoyo de Manzanares	De 95 a 99 años  	1 de enero de 2022	21
Total	28 Madrid	28072 Hoyo de Manzanares	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28073 Humanes de Madrid	De 65 a 69 años	1 de enero de 2022	801
Total	28 Madrid	28073 Humanes de Madrid	De 70 a 74 años  	1 de enero de 2022	498
Total	28 Madrid	28073 Humanes de Madrid	De 75 a 79 años  	1 de enero de 2022	320
Total	28 Madrid	28073 Humanes de Madrid	De 80 a 84 años  	1 de enero de 2022	187
Total	28 Madrid	28073 Humanes de Madrid	De 85 a 89 años  	1 de enero de 2022	133
Total	28 Madrid	28073 Humanes de Madrid	De 90 a 94 años  	1 de enero de 2022	54
Total	28 Madrid	28073 Humanes de Madrid	De 95 a 99 años  	1 de enero de 2022	15
Total	28 Madrid	28073 Humanes de Madrid	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28074 Leganés	De 65 a 69 años	1 de enero de 2022	9.486
Total	28 Madrid	28074 Leganés	De 70 a 74 años  	1 de enero de 2022	12.084
Total	28 Madrid	28074 Leganés	De 75 a 79 años  	1 de enero de 2022	10.037
Total	28 Madrid	28074 Leganés	De 80 a 84 años  	1 de enero de 2022	5.698
Total	28 Madrid	28074 Leganés	De 85 a 89 años  	1 de enero de 2022	3.386
Total	28 Madrid	28074 Leganés	De 90 a 94 años  	1 de enero de 2022	1.319
Total	28 Madrid	28074 Leganés	De 95 a 99 años  	1 de enero de 2022	299
Total	28 Madrid	28074 Leganés	100 y más años	1 de enero de 2022	71
Total	28 Madrid	28075 Loeches	De 65 a 69 años	1 de enero de 2022	280
Total	28 Madrid	28075 Loeches	De 70 a 74 años  	1 de enero de 2022	194
Total	28 Madrid	28075 Loeches	De 75 a 79 años  	1 de enero de 2022	121
Total	28 Madrid	28075 Loeches	De 80 a 84 años  	1 de enero de 2022	89
Total	28 Madrid	28075 Loeches	De 85 a 89 años  	1 de enero de 2022	75
Total	28 Madrid	28075 Loeches	De 90 a 94 años  	1 de enero de 2022	33
Total	28 Madrid	28075 Loeches	De 95 a 99 años  	1 de enero de 2022	7
Total	28 Madrid	28075 Loeches	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28076 Lozoya	De 65 a 69 años	1 de enero de 2022	47
Total	28 Madrid	28076 Lozoya	De 70 a 74 años  	1 de enero de 2022	43
Total	28 Madrid	28076 Lozoya	De 75 a 79 años  	1 de enero de 2022	29
Total	28 Madrid	28076 Lozoya	De 80 a 84 años  	1 de enero de 2022	22
Total	28 Madrid	28076 Lozoya	De 85 a 89 años  	1 de enero de 2022	12
Total	28 Madrid	28076 Lozoya	De 90 a 94 años  	1 de enero de 2022	7
Total	28 Madrid	28076 Lozoya	De 95 a 99 años  	1 de enero de 2022	4
Total	28 Madrid	28076 Lozoya	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 65 a 69 años	1 de enero de 2022	65
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 70 a 74 años  	1 de enero de 2022	59
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 75 a 79 años  	1 de enero de 2022	50
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 80 a 84 años  	1 de enero de 2022	39
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 85 a 89 años  	1 de enero de 2022	44
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 90 a 94 años  	1 de enero de 2022	25
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	De 95 a 99 años  	1 de enero de 2022	5
Total	28 Madrid	28901 Lozoyuela-Navas-Sieteiglesias	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28078 Madarcos	De 65 a 69 años	1 de enero de 2022	5
Total	28 Madrid	28078 Madarcos	De 70 a 74 años  	1 de enero de 2022	2
