Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28009 Algete	De 75 a 79 años  	1 de enero de 2022	481
Total	28 Madrid	28009 Algete	De 80 a 84 años  	1 de enero de 2022	359
Total	28 Madrid	28009 Algete	De 85 a 89 años  	1 de enero de 2022	258
Total	28 Madrid	28009 Algete	De 90 a 94 años  	1 de enero de 2022	99
Total	28 Madrid	28009 Algete	De 95 a 99 años  	1 de enero de 2022	34
Total	28 Madrid	28009 Algete	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28010 Alpedrete	De 65 a 69 años	1 de enero de 2022	577
Total	28 Madrid	28010 Alpedrete	De 70 a 74 años  	1 de enero de 2022	457
Total	28 Madrid	28010 Alpedrete	De 75 a 79 años  	1 de enero de 2022	452
Total	28 Madrid	28010 Alpedrete	De 80 a 84 años  	1 de enero de 2022	318
Total	28 Madrid	28010 Alpedrete	De 85 a 89 años  	1 de enero de 2022	186
Total	28 Madrid	28010 Alpedrete	De 90 a 94 años  	1 de enero de 2022	109
Total	28 Madrid	28010 Alpedrete	De 95 a 99 años  	1 de enero de 2022	24
Total	28 Madrid	28010 Alpedrete	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28011 Ambite	De 65 a 69 años	1 de enero de 2022	35
Total	28 Madrid	28011 Ambite	De 70 a 74 años  	1 de enero de 2022	25
Total	28 Madrid	28011 Ambite	De 75 a 79 años  	1 de enero de 2022	31
Total	28 Madrid	28011 Ambite	De 80 a 84 años  	1 de enero de 2022	14
Total	28 Madrid	28011 Ambite	De 85 a 89 años  	1 de enero de 2022	27
Total	28 Madrid	28011 Ambite	De 90 a 94 años  	1 de enero de 2022	9
Total	28 Madrid	28011 Ambite	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28011 Ambite	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28012 Anchuelo	De 65 a 69 años	1 de enero de 2022	56
Total	28 Madrid	28012 Anchuelo	De 70 a 74 años  	1 de enero de 2022	47
Total	28 Madrid	28012 Anchuelo	De 75 a 79 años  	1 de enero de 2022	34
Total	28 Madrid	28012 Anchuelo	De 80 a 84 años  	1 de enero de 2022	21
Total	28 Madrid	28012 Anchuelo	De 85 a 89 años  	1 de enero de 2022	8
Total	28 Madrid	28012 Anchuelo	De 90 a 94 años  	1 de enero de 2022	15
Total	28 Madrid	28012 Anchuelo	De 95 a 99 años  	1 de enero de 2022	3
Total	28 Madrid	28012 Anchuelo	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28013 Aranjuez	De 65 a 69 años	1 de enero de 2022	2.828
Total	28 Madrid	28013 Aranjuez	De 70 a 74 años  	1 de enero de 2022	2.498
Total	28 Madrid	28013 Aranjuez	De 75 a 79 años  	1 de enero de 2022	2.039
Total	28 Madrid	28013 Aranjuez	De 80 a 84 años  	1 de enero de 2022	1.335
Total	28 Madrid	28013 Aranjuez	De 85 a 89 años  	1 de enero de 2022	1.017
Total	28 Madrid	28013 Aranjuez	De 90 a 94 años  	1 de enero de 2022	496
Total	28 Madrid	28013 Aranjuez	De 95 a 99 años  	1 de enero de 2022	117
Total	28 Madrid	28013 Aranjuez	100 y más años	1 de enero de 2022	15
Total	28 Madrid	28014 Arganda del Rey	De 65 a 69 años	1 de enero de 2022	2.433
